"x","y","z"
0.964285714285714,0,-1.18645599954239
0.178571428571429,0.05,-0.447491505479251
0.392857142857143,0.05,-0.603062977913596
0.821428571428571,0.05,-0.369705769262078
0.607142857142857,0.1,-0.330812901153492
0.785714285714286,0.1,-0.253027164936319
0.857142857142857,0.1,-0.641955846022182
0.0714285714285714,0.15,-0.953098790890872
0.0357142857142857,0.2,-0.991991658999458
0.321428571428571,0.2,0.835973142104096
0,0.25,-1.06977739521663
0.75,0.25,0.719294537778337
0.285714285714286,0.3,1.76940197671017
0.928571428571428,0.3,-1.06977739521663
1,0.3,-1.1475631314338
0.0357142857142857,0.35,-0.8753130546737
0.107142857142857,0.35,0.252580120475302
0.357142857142857,0.35,1.73050910860158
0.5,0.35,1.14711608697279
0.928571428571428,0.35,-1.03088452710804
0.392857142857143,0.4,1.84718771292734
0.714285714285714,0.4,0.797080273995509
0.857142857142857,0.4,-0.0974556925019744
0.25,0.45,2.31390213023037
0.571428571428571,0.45,1.57493763616723
0.964285714285714,0.45,-0.758634450347941
0.285714285714286,0.5,1.45825903184148
0.357142857142857,0.55,0.758187405886923
0.714285714285714,0.55,0.252580120475302
0.428571428571429,0.6,1.41936616373289
0.285714285714286,0.65,1.76940197671017
0.571428571428571,0.65,0.330365856692474
0.678571428571428,0.65,0.408151592909647
0.142857142857143,0.7,0.913758878321268
0.571428571428571,0.7,0.0970086480409568
0.892857142857143,0.7,-1.1475631314338
1,0.7,-1.30313460386815
0.75,0.75,-0.486384373587837
0.928571428571428,0.75,-1.30313460386815
0.392857142857143,0.8,1.18600895508137
0.535714285714286,0.8,-0.253027164936319
0.821428571428571,0.8,-1.1475631314338
0.928571428571428,0.8,-1.30313460386815
0.25,0.85,0.602615933452578
0.892857142857143,0.85,-1.30313460386815
0.285714285714286,0.9,0.174794384258129
0.428571428571429,0.9,-0.330812901153492
0.928571428571428,0.9,-1.30313460386815
0.5,0.95,-0.758634450347941
0.178571428571429,1,-0.991991658999458
